sub_num,case_nm,target,iteration,hdiff
16,EP,Close,1,79.22059
16,EP,Close,2,23.31209
16,EP,Close,3,33.13035
16,EP,Close,4,24.90321
16,EP,Close,5,12.88004
16,EP,Close,6,54.50105
16,EP,Close,7,133.14
16,EP,Close,8,52.85099
16,EP,Close,9,48.93485
16,EP,Close,10,86.12831
16,EP,Close,11,49.28705
16,EP,Close,12,121.1285
16,EP,Close,13,39.44071
16,EP,Close,14,32.46083
16,EP,Close,15,60.99756
16,EP,Close,16,113.924
16,EP,Close,17,103.4523
16,EP,Close,18,37.22614
16,EP,Close,19,62.36336
16,EP,Close,20,108.951
16,EP,Close,21,79.22059
16,EP,Close,22,23.31209
16,EP,Close,23,33.13035
16,EP,Close,24,24.90321
16,EP,Close,25,12.88004
16,EP,Close,26,54.50105
16,EP,Close,27,133.14
16,EP,Close,28,52.85099
16,EP,Close,29,48.93485
16,EP,Close,30,86.12831
16,EP,Mid,1,100.997
16,EP,Mid,2,48.40774
16,EP,Mid,3,43.87118
16,EP,Mid,4,122.4576
16,EP,Mid,5,34.75483
16,EP,Mid,6,50.92602
16,EP,Mid,7,30.45174
16,EP,Mid,8,40.14416
16,EP,Mid,9,36.30498
16,EP,Mid,10,54.9278
16,EP,Mid,11,26.56001
16,EP,Mid,12,42.80972
16,EP,Mid,13,87.64007
16,EP,Mid,14,38.26984
16,EP,Mid,15,16.9579
16,EP,Mid,16,73.81463
16,EP,Mid,17,26.54494
16,EP,Mid,18,38.04386
16,EP,Mid,19,51.73951
16,EP,Mid,20,27.23373
16,EP,Mid,21,100.997
16,EP,Mid,22,48.40774
16,EP,Mid,23,43.87118
16,EP,Mid,24,122.4576
16,EP,Mid,25,34.75483
16,EP,Mid,26,50.92602
16,EP,Mid,27,30.45174
16,EP,Mid,28,40.14416
16,EP,Mid,29,36.30498
16,EP,Mid,30,54.9278
16,EP,Far,1,39.26213
16,EP,Far,2,253.2612
16,EP,Far,3,36.66928
16,EP,Far,4,43.57047
16,EP,Far,5,71.1262
16,EP,Far,6,37.35133
16,EP,Far,7,33.54061
16,EP,Far,8,105.3525
16,EP,Far,9,39.02385
16,EP,Far,10,34.98271
16,EP,Far,11,22.87922
16,EP,Far,12,85.10728
16,EP,Far,13,25.35723
16,EP,Far,14,26.44355
16,EP,Far,15,46.18575
16,EP,Far,16,26.64553
16,EP,Far,17,51.79694
16,EP,Far,18,36.62423
16,EP,Far,19,42.55017
16,EP,Far,20,33.04236
16,EP,Far,21,39.26213
16,EP,Far,22,253.2612
16,EP,Far,23,36.66928
16,EP,Far,24,43.57047
16,EP,Far,25,71.1262
16,EP,Far,26,37.35133
16,EP,Far,27,33.54061
16,EP,Far,28,105.3525
16,EP,Far,29,39.02385
16,EP,Far,30,34.98271
16,EP,High,1,95.9473
16,EP,High,2,102.9215
16,EP,High,3,80.38874
16,EP,High,4,93.42599
16,EP,High,5,109.8512
16,EP,High,6,118.2725
16,EP,High,7,82.70454
16,EP,High,8,50.99548
16,EP,High,9,48.18986
16,EP,High,10,52.1642
16,EP,High,11,95.84116
16,EP,High,12,52.79277
16,EP,High,13,25.006
16,EP,High,14,85.57954
16,EP,High,15,165.4605
16,EP,High,16,164.5578
16,EP,High,17,113.2407
16,EP,High,18,324.0832
16,EP,High,19,58.91468
16,EP,High,20,54.02399
16,EP,High,21,95.9473
16,EP,High,22,102.9215
16,EP,High,23,80.38874
16,EP,High,24,93.42599
16,EP,High,25,109.8512
16,EP,High,26,118.2725
16,EP,High,27,82.70454
16,EP,High,28,50.99548
16,EP,High,29,48.18986
16,EP,High,30,52.1642
16,TS,Close,1,42.00327
16,TS,Close,2,46.66227
16,TS,Close,3,71.18095
16,TS,Close,4,59.8015
16,TS,Close,5,40.52617
16,TS,Close,6,47.64504
16,TS,Close,7,48.33863
16,TS,Close,8,93.51847
16,TS,Close,9,172.4212
16,TS,Close,10,82.22779
16,TS,Close,11,94.46341
16,TS,Close,12,35.00956
16,TS,Close,13,26.64373
16,TS,Close,14,26.78788
16,TS,Close,15,85.92156
16,TS,Close,16,117.7656
16,TS,Close,17,226.3478
16,TS,Close,18,70.29357
16,TS,Close,19,187.1855
16,TS,Close,20,39.20756
16,TS,Close,21,42.00327
16,TS,Close,22,46.66227
16,TS,Close,23,71.18095
16,TS,Close,24,59.8015
16,TS,Close,25,40.52617
16,TS,Close,26,47.64504
16,TS,Close,27,48.33863
16,TS,Close,28,93.51847
16,TS,Close,29,172.4212
16,TS,Close,30,82.22779
16,TS,Mid,1,25.8987
16,TS,Mid,2,33.6175
16,TS,Mid,3,22.852
16,TS,Mid,4,37.4967
16,TS,Mid,5,22.722
16,TS,Mid,6,54.5738
16,TS,Mid,7,11.1777
16,TS,Mid,8,89.1476
16,TS,Mid,9,48.5752
16,TS,Mid,10,20.2776
16,TS,Mid,11,23.749
16,TS,Mid,12,98.8359
16,TS,Mid,13,27.4496
16,TS,Mid,14,69.2068
16,TS,Mid,15,10.6148
16,TS,Mid,16,21.2895
16,TS,Mid,17,33.4795
16,TS,Mid,18,84.1512
16,TS,Mid,19,28.4151
16,TS,Mid,20,84.4691
16,TS,Mid,21,25.8987
16,TS,Mid,22,33.6175
16,TS,Mid,23,22.852
16,TS,Mid,24,37.4967
16,TS,Mid,25,22.722
16,TS,Mid,26,54.5738
16,TS,Mid,27,11.1777
16,TS,Mid,28,89.1476
16,TS,Mid,29,48.5752
16,TS,Mid,30,20.2776
16,TS,Far,1,81.6956
16,TS,Far,2,74.49746
16,TS,Far,3,90.09618
16,TS,Far,4,28.42936
16,TS,Far,5,77.71474
16,TS,Far,6,44.86249
16,TS,Far,7,47.22562
16,TS,Far,8,36.56902
16,TS,Far,9,70.73672
16,TS,Far,10,48.96389
16,TS,Far,11,48.18329
16,TS,Far,12,152.9968
16,TS,Far,13,57.25824
16,TS,Far,14,26.70541
16,TS,Far,15,24.46346
16,TS,Far,16,27.09638
16,TS,Far,17,97.72717
16,TS,Far,18,46.09461
16,TS,Far,19,50.07516
16,TS,Far,20,31.36449
16,TS,Far,21,81.6956
16,TS,Far,22,74.49746
16,TS,Far,23,90.09618
16,TS,Far,24,28.42936
16,TS,Far,25,77.71474
16,TS,Far,26,44.86249
16,TS,Far,27,47.22562
16,TS,Far,28,36.56902
16,TS,Far,29,70.73672
16,TS,Far,30,48.96389
16,TS,High,1,82.02465
16,TS,High,2,70.3709
16,TS,High,3,90.06515
16,TS,High,4,35.21736
16,TS,High,5,50.7414
16,TS,High,6,89.9767
16,TS,High,7,63.62662
16,TS,High,8,448.7344
16,TS,High,9,232.2077
16,TS,High,10,104.8636
16,TS,High,11,108.6425
16,TS,High,12,98.88594
16,TS,High,13,181.2643
16,TS,High,14,114.6583
16,TS,High,15,99.98397
16,TS,High,16,20.59105
16,TS,High,17,142.5178
16,TS,High,18,126.971
16,TS,High,19,122.1999
16,TS,High,20,130.1692
16,TS,High,21,82.02465
16,TS,High,22,70.3709
16,TS,High,23,90.06515
16,TS,High,24,35.21736
16,TS,High,25,50.7414
16,TS,High,26,89.9767
16,TS,High,27,63.62662
16,TS,High,28,448.7344
16,TS,High,29,232.2077
16,TS,High,30,104.8636
16,JS,Close,1,197.9709
16,JS,Close,2,51.57163
16,JS,Close,3,25.30781
16,JS,Close,4,14.58618
16,JS,Close,5,68.39836
16,JS,Close,6,37.47471
16,JS,Close,7,39.38094
16,JS,Close,8,52.65306
16,JS,Close,9,111.6705
16,JS,Close,10,76.08563
16,JS,Close,11,20.50799
16,JS,Close,12,26.73137
16,JS,Close,13,70.42205
16,JS,Close,14,39.44521
16,JS,Close,15,87.09592
16,JS,Close,16,49.05178
16,JS,Close,17,44.55354
16,JS,Close,18,27.2375
16,JS,Close,19,29.41034
16,JS,Close,20,124.1144
16,JS,Close,21,197.9709
16,JS,Close,22,51.57163
16,JS,Close,23,25.30781
16,JS,Close,24,14.58618
16,JS,Close,25,68.39836
16,JS,Close,26,37.47471
16,JS,Close,27,39.38094
16,JS,Close,28,52.65306
16,JS,Close,29,111.6705
16,JS,Close,30,76.08563
16,JS,Mid,1,18.92342
16,JS,Mid,2,20.17765
16,JS,Mid,3,77.86468
16,JS,Mid,4,47.38772
16,JS,Mid,5,58.82501
16,JS,Mid,6,77.67331
16,JS,Mid,7,101.5372
16,JS,Mid,8,63.81607
16,JS,Mid,9,93.09213
16,JS,Mid,10,36.14638
16,JS,Mid,11,29.17646
16,JS,Mid,12,26.85359
16,JS,Mid,13,9.878462
16,JS,Mid,14,37.37422
16,JS,Mid,15,13.69463
16,JS,Mid,16,21.80522
16,JS,Mid,17,16.06818
16,JS,Mid,18,24.84289
16,JS,Mid,19,43.65445
16,JS,Mid,20,10.48649
16,JS,Mid,21,18.92342
16,JS,Mid,22,20.17765
16,JS,Mid,23,77.86468
16,JS,Mid,24,47.38772
16,JS,Mid,25,58.82501
16,JS,Mid,26,77.67331
16,JS,Mid,27,101.5372
16,JS,Mid,28,63.81607
16,JS,Mid,29,93.09213
16,JS,Mid,30,36.14638
16,JS,Far,1,35.56552
16,JS,Far,2,50.81039
16,JS,Far,3,35.49844
16,JS,Far,4,163.1986
16,JS,Far,5,83.00268
16,JS,Far,6,39.60117
16,JS,Far,7,27.18688
16,JS,Far,8,31.33246
16,JS,Far,9,37.84197
16,JS,Far,10,28.56906
16,JS,Far,11,51.00762
16,JS,Far,12,73.33207
16,JS,Far,13,43.16995
16,JS,Far,14,34.16524
16,JS,Far,15,66.38552
16,JS,Far,16,42.24327
16,JS,Far,17,257.2285
16,JS,Far,18,7.635818
16,JS,Far,19,61.33497
16,JS,Far,20,58.80824
16,JS,Far,21,35.56552
16,JS,Far,22,50.81039
16,JS,Far,23,35.49844
16,JS,Far,24,163.1986
16,JS,Far,25,83.00268
16,JS,Far,26,39.60117
16,JS,Far,27,27.18688
16,JS,Far,28,31.33246
16,JS,Far,29,37.84197
16,JS,Far,30,28.56906
16,JS,High,1,78.88561
16,JS,High,2,75.65341
16,JS,High,3,64.44765
16,JS,High,4,69.21252
16,JS,High,5,44.87029
16,JS,High,6,28.94066
16,JS,High,7,70.3929
16,JS,High,8,78.03139
16,JS,High,9,38.57476
16,JS,High,10,38.78896
16,JS,High,11,111.7079
16,JS,High,12,77.85318
16,JS,High,13,138.0248
16,JS,High,14,57.96206
16,JS,High,15,99.2023
16,JS,High,16,100.6422
16,JS,High,17,70.48886
16,JS,High,18,80.39779
16,JS,High,19,59.64124
16,JS,High,20,46.46222
16,JS,High,21,78.88561
16,JS,High,22,75.65341
16,JS,High,23,64.44765
16,JS,High,24,69.21252
16,JS,High,25,44.87029
16,JS,High,26,28.94066
16,JS,High,27,70.3929
16,JS,High,28,78.03139
16,JS,High,29,38.57476
16,JS,High,30,38.78896
