sub_num,case_nm,target,v_j
1,AB,Close,0.055762
1,EP,Close,0.24888
1,TS,Close,0.32324
1,JS,Close,0.28031
2,AB,Close,0.066339
2,EP,Close,0.26191
2,TS,Close,0.13285
2,JS,Close,0.23023
3,AB,Close,0.071579
3,EP,Close,0.26689
3,TS,Close,0.095632
3,JS,Close,0.17634
4,AB,Close,0.068754
4,EP,Close,0.17393
4,TS,Close,0.31682
4,JS,Close,0.44163
5,AB,Close,0.070751
5,EP,Close,0.19319
5,TS,Close,0.30144
5,JS,Close,0.53884
6,AB,Close,0.064047
6,EP,Close,0.2923
6,TS,Close,0.15021
6,JS,Close,0.17957
7,AB,Close,0.069299
7,EP,Close,0.1184
7,TS,Close,0.22593
7,JS,Close,0.13343
8,AB,Close,0.10952
8,EP,Close,0.24056
8,TS,Close,0.29327
8,JS,Close,0.20405
9,AB,Close,0.066009
9,EP,Close,0.40539
9,TS,Close,0.27437
9,JS,Close,0.3524
10,AB,Close,0.066772
10,EP,Close,0.28402
10,TS,Close,0.19175
10,JS,Close,0.1924
11,AB,Close,0.12258
11,EP,Close,0.29964
11,TS,Close,0.19595
11,JS,Close,0.13114
12,AB,Close,0.072654
12,EP,Close,0.27618
12,TS,Close,0.15248
12,JS,Close,0.18928
13,AB,Close,0.075157
13,EP,Close,0.19865
13,TS,Close,0.28379
13,JS,Close,0.17548
14,AB,Close,0.059007
14,EP,Close,0.23579
14,TS,Close,0.22344
14,JS,Close,0.097115
15,AB,Close,0.066481
15,EP,Close,0.24893
15,TS,Close,0.16399
15,JS,Close,0.14858
1,AB,Mid,0.06357
1,EP,Mid,0.25652
1,TS,Mid,0.34383
1,JS,Mid,0.29456
2,AB,Mid,0.15106
2,EP,Mid,0.23661
2,TS,Mid,0.20067
2,JS,Mid,0.26902
3,AB,Mid,0.11026
3,EP,Mid,0.26092
3,TS,Mid,0.3203
3,JS,Mid,0.14936
4,AB,Mid,0.12622
4,EP,Mid,0.35115
4,TS,Mid,0.50074
4,JS,Mid,0.30821
5,AB,Mid,0.14824
5,EP,Mid,0.23533
5,TS,Mid,0.24824
5,JS,Mid,0.28063
6,AB,Mid,0.099882
6,EP,Mid,0.20942
6,TS,Mid,0.2979
6,JS,Mid,0.26897
7,AB,Mid,0.087135
7,EP,Mid,0.18191
7,TS,Mid,0.19152
7,JS,Mid,0.21762
8,AB,Mid,0.091966
8,EP,Mid,0.25541
8,TS,Mid,0.4479
8,JS,Mid,0.36775
9,AB,Mid,0.073777
9,EP,Mid,0.39658
9,TS,Mid,0.21112
9,JS,Mid,0.204
10,AB,Mid,0.06409
10,EP,Mid,0.3092
10,TS,Mid,0.3016
10,JS,Mid,0.27271
11,AB,Mid,0.092921
11,EP,Mid,0.35314
11,TS,Mid,0.2365
11,JS,Mid,0.19699
12,AB,Mid,0.089024
12,EP,Mid,0.21841
12,TS,Mid,0.1903
12,JS,Mid,0.1997
13,AB,Mid,0.062597
13,EP,Mid,0.23795
13,TS,Mid,0.44893
13,JS,Mid,0.23496
14,AB,Mid,0.099094
14,EP,Mid,0.18616
14,TS,Mid,0.23932
14,JS,Mid,0.13742
15,AB,Mid,0.12298
15,EP,Mid,0.24611
15,TS,Mid,0.16051
15,JS,Mid,0.17853
1,AB,Far,0.1361
1,EP,Far,0.29931
1,TS,Far,0.29448
1,JS,Far,0.41709
2,AB,Far,0.17605
2,EP,Far,0.34933
2,TS,Far,0.19297
2,JS,Far,0.22335
3,AB,Far,0.052192
3,EP,Far,0.28515
3,TS,Far,0.32182
3,JS,Far,0.16833
4,AB,Far,0.070774
4,EP,Far,0.63006
4,TS,Far,0.47368
4,JS,Far,0.35949
5,AB,Far,0.10717
5,EP,Far,0.24822
5,TS,Far,0.13553
5,JS,Far,0.3229
6,AB,Far,0.030628
6,EP,Far,0.43417
6,TS,Far,0.16705
6,JS,Far,0.27328
7,AB,Far,0.095831
7,EP,Far,0.25171
7,TS,Far,0.28979
7,JS,Far,0.17136
8,AB,Far,0.095742
8,EP,Far,0.34025
8,TS,Far,0.37648
8,JS,Far,0.22737
9,AB,Far,0.070472
9,EP,Far,0.32439
9,TS,Far,0.23044
9,JS,Far,0.13767
10,AB,Far,0.15437
10,EP,Far,0.33057
10,TS,Far,0.31723
10,JS,Far,0.21129
11,AB,Far,0.094778
11,EP,Far,0.35466
11,TS,Far,0.12197
11,JS,Far,0.11371
12,AB,Far,0.089217
12,EP,Far,0.24387
12,TS,Far,0.22445
12,JS,Far,0.21169
13,AB,Far,0.065085
13,EP,Far,0.18681
13,TS,Far,0.27955
13,JS,Far,0.22609
14,AB,Far,0.15195
14,EP,Far,0.24725
14,TS,Far,0.18455
14,JS,Far,0.12284
15,AB,Far,0.058799
15,EP,Far,0.2731
15,TS,Far,0.18757
15,JS,Far,0.11845
1,AB,High,0.092378
1,EP,High,0.29798
1,TS,High,0.40396
1,JS,High,0.35008
2,AB,High,0.16718
2,EP,High,0.42832
2,TS,High,0.24329
2,JS,High,0.29398
3,AB,High,0.11804
3,EP,High,0.26392
3,TS,High,0.19437
3,JS,High,0.25316
4,AB,High,0.10871
4,EP,High,1.6627
4,TS,High,1.2893
4,JS,High,0.38204
5,AB,High,0.16528
5,EP,High,0.29318
5,TS,High,0.18748
5,JS,High,0.34584
6,AB,High,0.086574
6,EP,High,0.35826
6,TS,High,0.18122
6,JS,High,0.22127
7,AB,High,0.093879
7,EP,High,0.17138
7,TS,High,0.23201
7,JS,High,0.22154
8,AB,High,0.15846
8,EP,High,0.27493
8,TS,High,0.2157
8,JS,High,0.30022
9,AB,High,0.087486
9,EP,High,0.41836
9,TS,High,0.16118
9,JS,High,0.23428
10,AB,High,0.16177
10,EP,High,0.48388
10,TS,High,0.28368
10,JS,High,0.29503
11,AB,High,0.15836
11,EP,High,0.28264
11,TS,High,0.18414
11,JS,High,0.29745
12,AB,High,0.17423
12,EP,High,0.22671
12,TS,High,0.17404
12,JS,High,0.20378
13,AB,High,0.10325
13,EP,High,0.15561
13,TS,High,0.25286
13,JS,High,0.24741
14,AB,High,0.18321
14,EP,High,0.30504
14,TS,High,0.26212
14,JS,High,0.15426
15,AB,High,0.10623
15,EP,High,0.1916
15,TS,High,0.22063
15,JS,High,0.20382
